User_1	User_2	User_3	User_4
Nan	Nan	Nan	1:47
Nan	Nan	Nan	1:50
Nan	Nan	1:52	1:50
2:7	Nan	1:52	1:50
2:7	Nan	2:31	1:50
2:7	2:37	2:31	1:50
2:7	5:46	2:31	1:50
2:7	5:46	8:32	1:50
2:7	5:46	8:32	9:7
10:41	5:46	8:32	9:7
10:41	5:46	11:15	9:7
12:29	5:46	11:15	9:7
13:4	5:46	11:15	9:7
13:4	13:51	11:15	9:7
13:57	13:51	11:15	9:7
13:57	14:19	11:15	9:7
13:57	14:19	17:52	9:7
13:57	14:19	18:44	9:7
13:57	14:19	19:4	9:7
13:57	19:21	19:4	9:7
19:35	19:21	19:4	9:7
19:54	19:21	19:4	9:7
19:54	19:59	19:4	9:7
21:6	19:59	19:4	9:7
21:17	19:59	19:4	9:7
21:17	19:59	21:33	9:7
21:17	21:43	21:33	9:7
21:17	21:48	21:33	9:7
21:17	21:48	21:33	23:9
21:17	23:23	21:33	23:9
21:17	23:23	21:33	23:23
